,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,New Mexico
27,New York
28,North Dakota
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Dakota
33,Tennessee
34,Utah
35,Vermont
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
